scenario,solve_status,termination_condition,objective_cost_eur,total_demand_mwh,renewable_dispatch_mwh,renewable_available_mwh,renewable_curtailment_mwh,curtailment_rate_pct,backup_dispatch_mwh,renewable_share_of_demand_pct,max_line_utilisation_pct,line_hours_above_90pct,bess_throughput_mwh,bess_energy_capacity_mwh,bess_equivalent_cycles,emissions_proxy_tco2,curtailment_value_proxy_eur,line_hours_above_threshold,congestion_severity_pct_hours,curtailment_cost_proxy_eur,backup_cost_proxy_eur,line_overload_cost_proxy_eur,total_congestion_cost_proxy_eur,bess_region,bess_power_mw,bess_duration_h,bess_energy_mwh,renewable_dispatch_gain_mwh,backup_reduction_mwh,emissions_reduction_tco2,line_overload_reduction_hours,congestion_cost_reduction_eur,sweep_grid_value_score,congestion_value_per_mwh_bess_eur,backup_reduction_per_mw_bess,renewable_gain_per_mw_bess,sweep_rank
bess_sweep__Groningen__400MW__4h,ok,optimal,52470880.8765523,2225221.944063123,1674503.6019755253,2602119.150357477,927615.5483819514,35.648465530662435,552206.175143975,75.25108254675852,100.0,824,12038.154402888158,1600.0,7.523846501805099,231926.59356046948,60295010.644826844,824,7619.220931887187,60295010.644826844,52459586.63867762,12360000.0,125114597.28350446,Groningen,400.0,4.0,1600.0,12105.100243676687,10617.267187299323,4459.252218665701,7.0,1900471.8986324072,8.85205962120312,1187.7949366452544,26.54316796824831,30.262750609191716,1.0
bess_sweep__Zuid-Holland__400MW__4h,ok,optimal,52472082.082282975,2225221.944063123,1674509.4176817506,2602119.150357477,927609.7326757261,35.648242031818256,552217.4534977146,75.25134390074349,100.0,830,12176.463558171119,1600.0,7.610289723856949,231931.3304690401,60294632.62392219,830,7663.549405148452,60294632.62392219,52460658.082282886,12450000.0,125205290.70620507,Zuid-Holland,400.0,4.0,1600.0,12110.915949902032,10605.988833559677,4454.51531009507,1.0,1809778.4759317935,7.932572927719972,1131.111547457371,26.514972083899192,30.27728987475508,2.0
bess_sweep__Zeeland__400MW__4h,ok,optimal,52476811.10122384,2225221.944063123,1674334.8732517338,2602119.150357477,927784.2771057428,35.654949811897914,552276.4644563037,75.24349998969082,100.0,838,11241.674697427812,1600.0,7.026046685892383,231956.11507164757,60305978.01187328,838,7807.132702894833,60305978.01187328,52466264.123348854,12570000.0,125342242.13522214,Zeeland,400.0,4.0,1600.0,11936.371519885259,10546.97787497053,4429.730707487615,-7.0,1672827.0469147265,6.626388803833945,1045.516904321704,26.367444687426325,29.840928799713147,3.0
bess_sweep__Noord-Brabant__400MW__4h,ok,optimal,52478595.02147105,2225221.944063123,1674313.39534887,2602119.150357477,927805.7550086067,35.6557752123359,552295.4423312743,75.24253478696481,100.0,840,11221.446808510638,1600.0,7.0134042553191485,231964.08577913517,60307374.07555944,840,7815.1020012664585,60307374.07555944,52468067.02147105,12600000.0,125375441.09703049,Noord-Brabant,400.0,4.0,1600.0,11914.893617021386,10528.0,4421.760000000009,-9.0,1639628.0851063728,6.306538382978759,1024.767553191483,26.32,29.787234042553465,4.0
bess_sweep__Flevoland__400MW__4h,ok,optimal,52462258.752132244,2225221.944063123,1674550.3616269622,2602119.150357477,927568.7887305145,35.64666854717571,552118.6716176047,75.25318389451674,100.0,853,11708.493050549489,1600.0,7.31780815659343,231889.84207939394,60291971.26748344,853,7907.886833217028,60291971.26748344,52451273.80367245,12795000.0,125538245.07115589,Flevoland,400.0,4.0,1600.0,12151.859895113623,10704.770713669597,4496.003699741239,-22.0,1476824.1109809726,4.459946999586841,923.015069363108,26.761926784173994,30.379649737784057,5.0
bess_sweep__Noord-Brabant__200MW__4h,ok,optimal,52973411.021471046,2225221.944063123,1668355.9485403593,2602119.150357477,933763.2018171174,35.884721177692334,557559.4423312743,74.97481107408281,100.0,828,5610.723404255319,800.0,7.0134042553191485,234174.96577913518,60694608.11811263,828,7686.1925104340935,60694608.11811263,52968147.02147105,12420000.0,126082755.13958368,Noord-Brabant,200.0,4.0,800.0,5957.446808510693,5264.0,2210.8800000000047,3.0,932314.0425531864,4.300769191489379,1165.392553191483,26.32,29.787234042553465,6.0
bess_sweep__Noord-Holland__400MW__4h,ok,optimal,52466723.08528629,2225221.944063123,1674535.9264239566,2602119.150357477,927583.2239335203,35.647223295139646,552163.2555363837,75.25253518605672,100.0,854,11952.428278344203,1600.0,7.470267673965127,231908.56732528115,60292909.555678815,854,7809.904604924811,60292909.555678815,52455509.27595645,12810000.0,125558418.83163527,Noord-Holland,400.0,4.0,1600.0,12137.424692108063,10660.186794890556,4477.278453854029,-23.0,1456650.350501597,4.287484750805309,910.4064690634981,26.65046698722639,30.343561730270157,7.0
bess_sweep__Zuid-Holland__200MW__4h,ok,optimal,52970154.55187695,2225221.944063123,1668453.9597067996,2602119.150357477,933665.1906506772,35.88095458743352,557520.4479144944,74.97921563097216,100.0,834,6088.2317790855595,800.0,7.610289723856949,234158.58812408766,60688237.39229402,834,7729.116731502813,60688237.39229402,52964442.55187697,12510000.0,126162679.94417098,Zuid-Holland,200.0,4.0,800.0,6055.457974951016,5302.9944167798385,2227.2576550475205,-3.0,852389.2379658818,3.4307864638599836,1065.4865474573523,26.514972083899192,30.27728987475508,8.0
bess_sweep__Zuid-Holland__400MW__2h,ok,optimal,52949272.67108633,2225221.944063123,1668773.920111206,2602119.150357477,933345.2302462708,35.868658440104426,557293.2281166976,74.99359443957864,100.0,836,6838.602082390222,800.0,8.548252602987777,234063.155809013,60667439.9660076,836,7708.723641039842,60667439.9660076,52942856.671086274,12540000.0,126150296.63709387,Zuid-Holland,400.0,2.0,800.0,6375.4183793573175,5530.214214576641,2322.6899701221846,-5.0,864772.5450429916,3.3134152061566517,1080.9656813037395,13.825535536441603,15.938545948393294,9.0
bess_sweep__Noord-Brabant__400MW__2h,ok,optimal,52973411.021471046,2225221.944063123,1668355.9485403593,2602119.150357477,933763.2018171174,35.884721177692334,557559.4423312743,74.97481107408281,100.0,839,5610.723404255319,800.0,7.0134042553191485,234174.96577913518,60694608.11811263,839,7826.357357519555,60694608.11811263,52968147.02147105,12585000.0,126247755.13958368,Noord-Brabant,400.0,2.0,800.0,5957.446808510693,5264.0,2210.8800000000047,-8.0,767314.0425531864,2.617769191489379,959.142553191483,13.16,14.893617021276732,10.0
